# SHOT START
# legend_version=3
# time_base=ms_since_boot
# units: pressure=bar, flow=ml_s, output=percent, derivative=bar_s
# raw_p = raw pressure sensor reading
# flt_p = filtered pressure used by controller
# sp_raw = raw incoming pressure setpoint currently held by the profile engine
# sp_flt = filtered pressure setpoint actually used internally by the controller
# sp_recipe = visual recipe reference; ideal profile target for display/comparison
# sp_ctrl = control reference after internal conditioning; command seen by control logic
# sp_flt_d = derivative of filtered pressure setpoint
# ctrl_out = final controller output command in percent
# pump_duty = internal normalized pressure-branch duty estimate
# pump_flow = estimated pump flow
# coffee_flow = estimated outflow through puck / coffee flow
# u_raw = pressure branch output after clamp and before final slew limiter
# u_applied = pressure branch output after final slew limiter
# u_delta = u_raw - u_applied; limiter intervention magnitude
# limiter_active_up = 1 when rise slew limiter is active
# limiter_active_down = 1 when drop slew limiter is active
# error_integral = integral state of legacy pressure controller
# u_unclamped_raw = controller output before 0..100 clamp
# u_clamped_raw = controller output after 0..100 clamp and before slew limiter
# u_clamp_delta = u_unclamped_raw - u_clamped_raw
# clamp_active_high = 1 when output was clipped by upper clamp
# clamp_active_low = 1 when output was clipped by lower clamp
# u_fb = legacy pressure feedback contribution
# u_ff_hold = static feedforward contribution
# u_ff_dyn = dynamic feedforward contribution
# u_ff_dyn_raw = raw dynamic feedforward request before FF-path LPF and slew limiting
# ff_pressure_w = pressure-window weight applied to dynamic FF
# ff_above_w = above-target suppression weight applied to dynamic FF
# ff_gamma = ramp-dependent gamma multiplier applied to dynamic FF
# u_ff_total = total feedforward contribution
# ramp_hold_active = 1 when the downstream drop-rate hold is active during ramp-up
# drop_rate_active = active downstream output drop-rate cap in percent per second
# mpc_shadow_enabled = 1 when shadow MPC is being computed in parallel
# mpc_u_shadow = total output suggested by shadow MPC; not applied to actuator in shadow stage
# mpc_u_ss = steady-state component suggested by shadow MPC
# mpc_u_trim = corrective trim component suggested by shadow MPC
# mpc_p1_pred = one-step pressure prediction from shadow MPC model
# mpc_pn_pred = terminal pressure prediction at end of shadow MPC horizon
# mpc_qout_est = estimated outflow / load used by shadow MPC model
# mpc_qout_raw = instantaneous outflow / load estimate before shadow-MPC LPF
# mpc_residual = measured minus predicted pressure residual for shadow MPC
# mpc_residual_bias = low-pass residual bias term added to shadow predictions
# mpc_cost = shadow MPC objective value
# power_cmd = floating-point power command sent to pump stage before integer quantization
# power_psm_quantized = integer power actually sent to PSM
# power_quant_residual = sigma-delta residual kept for next quantization step
# tach_period_us = measured time between valid tach pulses in microseconds
# tach_rpm_inst = instantaneous RPM derived from tach_period_us and pulses-per-revolution
# tach_rpm_ema = exponentially filtered published RPM intended for easier visual analysis
# tach_rpm_count_window = RPM derived from ISR-accepted pulse counts over a fixed time window
# tach_rpm_count_window_pcnt_raw = RPM derived from raw PCNT hardware counts over the same window (diagnostic only)
# tach_pcnt_ratio = raw PCNT pulse count divided by ISR-accepted pulse count in the current window
# tach_rpm_pub = RPM value selected for operational use after comparing period and count-window estimates
# tach_quality_ok = 1 when period and count-window RPM agree within tolerance
# tach_rpm_source = 0=none, 1=period branch, 2=count-window fallback
# tach_pulse_count = total number of valid tach pulses seen since the last reset
# tach_glitch_rejects = number of tach edges rejected as implausibly fast glitches or plausibility failures
# tach_pcnt_healthy = 1 when raw PCNT windows have matched ISR-accepted windows for multiple consecutive updates
# tach_timeout = 1 when no recent tach pulse is available and RPM is forced to zero
ms,raw_p,flt_p,sp_raw,sp_flt,sp_recipe,sp_ctrl,sp_flt_d,ctrl_out,pump_duty,pump_flow,coffee_flow,u_raw,u_applied,u_delta,limiter_active_up,limiter_active_down,error_integral,u_unclamped_raw,u_clamped_raw,u_clamp_delta,clamp_active_high,clamp_active_low,u_fb,u_ff_hold,u_ff_dyn,u_ff_dyn_raw,ff_pressure_w,ff_above_w,ff_gamma,u_ff_total,ramp_hold_active,drop_rate_active,mpc_shadow_enabled,mpc_u_shadow,mpc_u_ss,mpc_u_trim,mpc_p1_pred,mpc_pn_pred,mpc_qout_est,mpc_qout_raw,mpc_residual,mpc_residual_bias,mpc_cost,power_cmd,power_psm_quantized,power_quant_residual,tach_period_us,tach_rpm_inst,tach_rpm_ema,tach_rpm_count_window,tach_rpm_count_window_pcnt_raw,tach_pcnt_ratio,tach_rpm_pub,tach_quality_ok,tach_rpm_source,tach_pulse_count,tach_glitch_rejects,tach_pcnt_healthy,tach_timeout
29424,0.347,0.345,9.000,0.489,9.000,0.489,12.398,5.70,0.1117,0.082,0.000,11.17,5.70,5.47,1,0,0.00000,11.17,11.17,0.00,0,0,11.17,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1,60.00,1,50.21,48.13,2.07,0.523,1.379,0.103,0.940,0.000,0.000,32.277,5.70,6,-0.3000,0,0.00,0.00,0.00,0.00,0.000,0.00,0,0,0,0,0,1
29524,0.320,0.325,9.000,2.166,9.000,2.166,30.508,17.10,0.3519,0.466,0.000,35.19,17.10,18.09,1,0,0.00000,35.19,35.19,0.00,0,0,33.62,0.00,1.57,8.50,0.30,1.000,1.047,1.57,1,60.00,1,59.40,54.40,5.00,0.509,1.385,0.602,2.989,-0.193,-0.017,226.884,17.10,17,0.2000,9454,3173.26,3173.26,0.00,0.00,0.000,3173.26,0,1,8,10,0,0
29661,0.303,0.308,9.000,4.511,9.000,4.511,22.906,34.20,0.5883,1.501,0.000,58.83,34.20,24.63,1,0,0.00000,58.83,58.83,0.00,0,0,54.09,0.00,4.74,8.50,1.00,1.000,1.160,4.74,1,60.00,1,68.81,63.81,5.00,0.476,1.274,1.896,5.920,-0.180,-0.039,346.244,34.20,35,-0.3000,8811,3404.83,3289.72,0.00,0.00,0.000,3404.83,0,1,22,49,0,0
29796,0.289,0.295,9.000,6.079,9.000,6.079,15.000,51.30,0.7411,2.972,0.000,74.11,51.30,22.81,1,0,0.00000,74.11,74.11,0.00,0,0,67.65,0.00,6.46,8.50,1.00,1.000,1.160,6.46,1,60.00,1,78.22,73.22,5.00,0.443,1.140,3.659,8.815,-0.162,-0.055,409.267,51.30,52,-0.5000,8779,3417.25,3452.09,0.00,0.00,0.000,3417.25,0,1,37,95,0,0
29898,0.249,0.263,9.000,6.807,9.000,6.807,11.266,62.70,0.8116,4.146,0.000,81.16,62.70,18.46,1,0,0.00000,81.16,81.16,0.00,0,0,74.02,0.00,7.14,8.50,1.00,1.000,1.160,7.14,1,60.00,1,84.49,79.49,5.00,0.395,1.014,5.056,10.913,-0.156,-0.064,446.858,62.70,62,0.2000,7566,3965.11,3306.98,3049.01,3708.25,1.216,3049.01,0,2,47,160,0,0
30036,0.232,0.240,9.000,7.573,9.000,7.573,7.329,79.80,0.8843,6.135,0.000,88.43,79.80,8.63,1,0,0.00000,88.43,88.43,0.00,0,0,80.66,0.00,7.76,8.50,0.89,1.000,1.142,7.76,0,255.00,1,93.89,88.89,5.00,0.348,0.853,7.358,13.816,-0.125,-0.073,491.090,79.80,80,-0.5000,6503,4613.26,3181.09,3049.01,3708.25,1.216,3049.01,0,2,62,225,0,0
30136,0.231,0.233,9.000,7.929,9.000,7.929,5.503,91.20,0.9174,7.584,0.000,91.74,91.20,0.54,1,0,0.00000,91.74,91.74,0.00,0,0,83.73,0.00,8.01,8.50,0.64,1.000,1.103,8.01,0,255.00,1,100.00,95.16,5.00,0.326,0.756,8.986,15.685,-0.103,-0.076,514.646,91.20,91,0.2000,8432,3557.87,3133.54,3049.01,3708.25,1.216,3049.01,0,2,72,290,0,0
30269,0.212,0.218,9.000,8.303,9.000,8.303,3.580,99.02,0.9902,9.685,0.000,99.02,99.02,0.00,0,0,-0.47443,99.02,99.02,0.00,0,0,90.82,0.00,8.21,8.35,0.33,1.000,1.053,8.21,0,255.00,1,100.00,99.46,5.00,0.262,0.466,11.258,17.001,-0.065,-0.077,558.603,99.02,99,0.2584,7722,3885.00,3194.67,3333.40,5238.19,1.571,3333.40,0,2,88,374,0,0
30405,0.194,0.200,9.000,8.607,9.000,8.607,2.018,98.85,0.9885,11.826,0.000,98.85,98.85,0.00,0,0,-0.47443,98.85,98.85,0.00,0,0,93.46,0.00,5.39,1.76,0.12,1.000,1.020,5.39,0,255.00,1,100.00,99.37,5.00,0.206,0.236,13.389,16.960,-0.020,-0.069,596.158,98.85,99,-0.0181,6914,4339.02,3276.57,3333.40,5238.19,1.571,3333.40,0,2,105,405,0,0
30540,0.173,0.175,9.000,8.744,9.000,8.744,1.313,97.96,0.9796,12.965,0.000,97.96,97.96,0.00,0,0,-0.47443,97.96,97.96,0.00,0,0,94.68,0.00,3.28,0.52,0.05,1.000,1.009,3.28,0,255.00,1,100.00,98.88,5.00,0.167,0.133,14.428,16.887,0.002,-0.061,614.192,97.96,98,-0.2706,7176,4180.60,3304.30,3333.40,5238.19,1.571,3333.40,0,2,120,440,0,0
